state,fips,cases,deaths
Washington,53,201179,3075
Illinois,17,825136,14852
California,06,1491053,20636
Arizona,04,390047,7173
Massachusetts,25,274781,11209
Wisconsin,55,456889,4216
Texas,48,1403687,23967
Nebraska,31,146456,1358
Utah,49,225946,1016
Oregon,41,89838,1124
Florida,12,1094689,19590
New York,36,749204,34884
Rhode Island,44,69247,1498
Georgia,13,506802,9683
New Hampshire,33,28273,584
North Carolina,37,417951,5752
New Jersey,34,388474,17608
Colorado,08,278916,3795
Maryland,24,226173,5012
Nevada,32,179409,2448
Tennessee,47,418902,5183
Hawaii,15,18901,266
Indiana,18,407755,6603
Kentucky,21,217112,2387
Minnesota,27,367277,4257
Oklahoma,40,225453,1980
Pennsylvania,42,463175,12066
South Carolina,45,241686,4627
District of Columbia,11,24098,708
Kansas,20,183750,1941
Missouri,29,353082,4690
Vermont,50,5413,89
Virginia,51,271043,4335
Connecticut,09,142979,5327
Iowa,19,251027,3116
Louisiana,22,261329,6724
Ohio,39,531850,7298
Michigan,26,454180,10895
South Dakota,46,88727,1177
Arkansas,05,178854,2820
Delaware,10,43036,806
Mississippi,28,172955,4083
New Mexico,35,114731,1846
North Dakota,38,86713,1109
Wyoming,56,38223,299
Alaska,02,39146,148
Maine,23,14861,246
Alabama,01,284922,4034
Idaho,16,118352,1145
Montana,30,70954,786
West Virginia,54,59695,921
