state,fips,cases,deaths
Washington,53,240763,3283
Illinois,17,935849,17225
California,06,2129678,24221
Arizona,04,493277,8424
Massachusetts,25,349602,12010
Wisconsin,55,506022,5032
Texas,48,1668843,27062
Nebraska,31,162272,1595
Utah,49,264078,1212
Oregon,41,108348,1431
Florida,12,1264580,21134
New York,36,920171,36870
Rhode Island,44,82066,1704
Georgia,13,607133,10352
New Hampshire,33,39933,701
North Carolina,37,514724,6574
New Jersey,34,460846,18613
Colorado,08,324869,4652
Maryland,24,265606,5680
Nevada,32,216329,2951
Tennessee,47,546245,6382
Hawaii,15,20970,283
Indiana,18,494967,7801
Kentucky,21,257453,2821
Minnesota,27,406604,5166
Oklahoma,40,276508,2357
Pennsylvania,42,609682,14915
South Carolina,45,288892,5124
District of Columbia,11,27710,762
Kansas,20,213091,2507
Missouri,29,402344,5642
Vermont,50,6966,121
Virginia,51,329577,4840
Connecticut,09,172743,5791
Iowa,19,274793,3744
Louisiana,22,296499,7272
Ohio,39,664668,8476
Michigan,26,515484,12680
South Dakota,46,96963,1446
Arkansas,05,213969,3441
Delaware,10,54473,895
Mississippi,28,205023,4565
New Mexico,35,137227,2318
North Dakota,38,91362,1271
Wyoming,56,43146,373
Alaska,02,45247,192
Maine,23,21547,319
Alabama,01,343458,4685
Idaho,16,135886,1357
Montana,30,79521,919
West Virginia,54,80177,1253
