state,fips,cases,deaths
Washington,53,42181,1438
Illinois,17,155355,7391
California,06,327676,7042
Arizona,04,122479,2239
Massachusetts,25,111597,8325
Wisconsin,55,39901,828
Texas,48,264811,3246
Nebraska,31,21214,296
Utah,49,29552,215
Oregon,41,12170,237
Florida,12,269803,4241
New York,36,406403,32029
Rhode Island,44,17312,976
Georgia,13,108389,2951
New Hampshire,33,6054,391
North Carolina,37,85831,1532
New Jersey,34,177245,15525
Colorado,08,36933,1726
Maryland,24,73705,3319
Nevada,32,27745,593
Tennessee,47,61106,731
Hawaii,15,1201,19
Indiana,18,52892,2760
Kentucky,21,19762,649
Minnesota,27,42319,1540
Oklahoma,40,20235,422
Pennsylvania,42,99794,6950
South Carolina,45,56648,961
District of Columbia,11,10847,568
Kansas,20,19295,300
Missouri,29,29173,1113
Vermont,50,1296,56
Virginia,51,70670,1966
Connecticut,09,47287,4348
Iowa,19,35410,752
Louisiana,22,78230,3416
Ohio,39,65592,3058
Michigan,26,76936,6317
South Dakota,46,7499,109
Arkansas,05,28367,321
Delaware,10,12804,517
Mississippi,28,36287,1249
New Mexico,35,15028,545
North Dakota,38,4338,91
Wyoming,56,1862,21
Alaska,02,1772,15
Maine,23,3539,114
Alabama,01,53587,1121
Idaho,16,10971,102
Montana,30,1758,29
West Virginia,54,4244,96
