state,fips,cases,deaths
Washington,53,387382,5427
Illinois,17,1305604,23955
California,06,3718233,60994
Arizona,04,853761,17153
Massachusetts,25,672657,17462
Wisconsin,55,651739,7420
Texas,48,2850832,49757
Nebraska,31,216473,2336
Utah,49,392818,2164
Oregon,41,175121,2472
Florida,12,2168893,34438
New York,36,1996876,51077
Rhode Island,44,144149,2647
Georgia,13,1060199,19147
New Hampshire,33,91586,1270
North Carolina,37,950078,12416
New Jersey,34,978853,25143
Colorado,08,491968,6330
Maryland,24,436214,8562
Nevada,32,310235,5365
Tennessee,47,816289,11951
Hawaii,15,31715,471
Indiana,18,711366,13224
Kentucky,21,440669,6435
Minnesota,27,556459,7098
Oklahoma,40,444863,6697
Pennsylvania,42,1111381,25744
South Carolina,45,569279,9336
District of Columbia,11,46662,1096
Kansas,20,308119,5001
Missouri,29,588723,9115
Vermont,50,22016,242
Virginia,51,646133,10581
Connecticut,09,329062,7995
Iowa,19,360013,5882
Louisiana,22,451955,10282
Ohio,39,1053175,18991
Michigan,26,873185,17922
South Dakota,46,121056,1953
Arkansas,05,333452,5694
Delaware,10,101158,1602
Mississippi,28,309186,7153
New Mexico,35,194868,4003
North Dakota,38,105785,1510
Wyoming,56,57267,703
Alaska,02,65390,318
Maine,23,57285,765
Alabama,01,522401,10790
Idaho,16,184887,2018
Montana,30,107198,1547
West Virginia,54,148887,2785
