county,state,fips,cases,deaths
Wright,Missouri,29229,14,0
Worth,Missouri,29227,4,0
Washington,Missouri,29221,13,1
Webster,Missouri,29225,19,0
Wayne,Missouri,29223,0,0
Stoddard,Missouri,29207,124,7
Shelby,Missouri,29205,1,0
Stone,Missouri,29209,7,0
Shannon,Missouri,29203,6,0
Scott,Missouri,29201,149,10
Warren,Missouri,29219,32,0
Vernon,Missouri,29217,12,0
Campbell,Wyoming,56005,46,0
Sullivan,Missouri,29211,91,0
Carbon,Wyoming,56007,21,1
Albany,Wyoming,56001,28,0
Texas,Missouri,29215,1,0
Taney,Missouri,29213,27,2
Big Horn,Wyoming,56003,11,0
Converse,Wyoming,56009,24,0
Franklin,Kansas,20059,53,0
Ford,Kansas,20057,1897,10
Floyd,Iowa,19067,22,1
Finney,Kansas,20055,1545,10
Franklin,Iowa,19069,51,0
Ellsworth,Kansas,20053,3,0
Emmet,Iowa,19063,45,0
Fayette,Iowa,19065,28,0
Dubuque,Iowa,19061,395,22
Montgomery,Virginia,51121,97,2
Nelson,Virginia,51125,18,0
Ellis,Kansas,20051,15,0
New Kent,Virginia,51127,47,1
Gray,Kansas,20069,23,0
Grant,Kansas,20067,18,1
Guthrie,Iowa,19077,60,3
Graham,Kansas,20065,0,0
Hamilton,Iowa,19079,131,0
Washoe,Nevada,32031,2023,71
Greene,Iowa,19073,25,0
Grundy,Iowa,19075,25,0
Fremont,Iowa,19071,4,0
Northampton,Virginia,51131,265,27
Northumberland,Virginia,51133,27,1
Nottoway,Virginia,51135,68,0
White Pine,Nevada,32033,3,0
Orange,Virginia,51137,135,2
Gove,Kansas,20063,1,0
Page,Virginia,51139,256,24
Geary,Kansas,20061,30,1
Dallas,Iowa,19049,1046,29
Newport,Rhode Island,44005,277,4
Crawford,Kansas,20037,156,1
Providence,Rhode Island,44007,12363,637
Cowley,Kansas,20035,45,1
Bristol,Rhode Island,44001,240,13
Clinton,Iowa,19045,70,1
Comanche,Kansas,20033,2,0
Kent,Rhode Island,44003,1128,82
Crawford,Iowa,19047,630,2
Coffey,Kansas,20031,52,8
Clay,Iowa,19041,86,0
Clayton,Iowa,19043,35,3
Washington,Rhode Island,44009,516,61
Decatur,Kansas,20039,0,0
Pershing,Nevada,32027,5,0
Patrick,Virginia,51141,33,0
Nye,Nevada,32023,75,3
Pittsylvania,Virginia,51143,73,1
Mineral,Nevada,32021,4,0
Powhatan,Virginia,51145,54,0
Prince Edward,Virginia,51147,171,3
Prince George,Virginia,51149,169,0
Storey,Nevada,32029,1,0
Elk,Kansas,20049,0,0
Dickinson,Iowa,19059,174,1
Edwards,Kansas,20047,5,0
Douglas,Kansas,20045,88,0
Delaware,Iowa,19055,29,1
Doniphan,Kansas,20043,24,0
Des Moines,Iowa,19057,66,2
Davis,Iowa,19051,34,1
Decatur,Iowa,19053,8,0
Lincoln,Nevada,32017,2,0
Prince William,Virginia,51153,6654,127
Lander,Nevada,32015,23,0
Pulaski,Virginia,51155,30,1
Humboldt,Nevada,32013,78,4
Rappahannock,Virginia,51157,17,0
Eureka,Nevada,32011,0,0
Richmond,Virginia,51159,294,6
Dickinson,Kansas,20041,6,0
Lyon,Nevada,32019,92,2
Carroll,Iowa,19027,63,1
Butler,Kansas,20015,42,0
Cass,Iowa,19029,14,0
Brown,Kansas,20013,10,0
Butler,Iowa,19023,28,2
Bourbon,Kansas,20011,9,1
Calhoun,Iowa,19025,25,0
Buena Vista,Iowa,19021,1620,10
Chautauqua,Kansas,20019,4,0
Chase,Kansas,20017,3,0
Douglas,Nevada,32005,47,0
Roanoke,Virginia,51161,148,5
Clark,Nevada,32003,9318,386
Rockbridge,Virginia,51163,18,0
Churchill,Nevada,32001,10,1
Rockingham,Virginia,51165,636,7
Russell,Virginia,51167,9,0
Scott,Virginia,51169,8,2
Esmeralda,Nevada,32009,0,0
Elko,Nevada,32007,47,1
Clay,Kansas,20027,7,2
Chickasaw,Iowa,19037,15,0
Clark,Kansas,20025,34,0
Clarke,Iowa,19039,90,1
Cheyenne,Kansas,20023,2,0
Cerro Gordo,Iowa,19033,49,1
Cherokee,Kansas,20021,17,0
Cherokee,Iowa,19035,62,0
Cedar,Iowa,19031,54,1
Shenandoah,Virginia,51171,522,27
Cloud,Kansas,20029,6,0
Smyth,Virginia,51173,26,0
Southampton,Virginia,51175,154,2
Spotsylvania,Virginia,51177,858,17
Stafford,Virginia,51179,906,5
Allamakee,Iowa,19005,121,4
Appanoose,Iowa,19007,17,3
Adair,Iowa,19001,12,0
Adams,Iowa,19003,8,0
Surry,Virginia,51181,13,1
Sussex,Virginia,51183,184,2
Tazewell,Virginia,51185,9,0
Warren,Virginia,51187,233,4
Audubon,Iowa,19009,14,1
Atchison,Kansas,20005,26,0
Boone,Iowa,19015,103,1
Anderson,Kansas,20003,3,0
Bremer,Iowa,19017,78,6
Allen,Kansas,20001,1,0
Benton,Iowa,19011,49,1
Black Hawk,Iowa,19013,1846,56
Washington,Virginia,51191,58,4
Barton,Kansas,20009,51,2
Westmoreland,Virginia,51193,87,1
Barber,Kansas,20007,1,0
Wise,Virginia,51195,27,2
Wythe,Virginia,51197,42,1
York,Virginia,51199,94,3
Buchanan,Iowa,19019,35,1
Navarro,Texas,48349,98,4
Carter,Tennessee,47019,22,1
Carroll,Tennessee,47017,36,1
Nacogdoches,Texas,48347,329,25
Cannon,Tennessee,47015,34,0
Motley,Texas,48345,1,0
Mora,New Mexico,35033,0,0
McKinley,New Mexico,35031,2968,152
Rio Arriba,New Mexico,35039,61,1
Haines Borough,Alaska,02100,1,0
Quay,New Mexico,35037,4,1
Otero,New Mexico,35035,739,5
Campbell,Tennessee,47013,25,1
Morris,Texas,48343,31,0
Bradley,Tennessee,47011,303,2
Moore,Texas,48341,872,14
Blount,Tennessee,47009,115,3
Montgomery,Texas,48339,1428,33
Bledsoe,Tennessee,47007,614,1
Benton,Tennessee,47005,8,1
Montague,Texas,48337,9,1
Bedford,Tennessee,47003,403,4
Mitchell,Texas,48335,2,0
Hidalgo,New Mexico,35023,23,0
Harding,New Mexico,35021,1,0
Luna,New Mexico,35029,33,1
Los Alamos,New Mexico,35028,7,0
Lincoln,New Mexico,35027,6,0
Lea,New Mexico,35025,55,0
Anderson,Tennessee,47001,66,2
Mills,Texas,48333,1,0
Milam,Texas,48331,48,1
Midland,Texas,48329,264,13
Menard,Texas,48327,0,0
Medina,Texas,48325,227,2
Maverick,Texas,48323,199,2
Sagadahoc,Maine,23023,30,0
De Baca,New Mexico,35011,0,0
Somerset,Maine,23025,26,0
Waldo,Maine,23027,55,14
Washington,Maine,23029,1,0
Guadalupe,New Mexico,35019,20,0
Grant,New Mexico,35017,16,0
Kenai Peninsula Borough,Alaska,02122,122,1
Eddy,New Mexico,35015,48,1
Piscataquis,Maine,23021,1,0
Doña Ana,New Mexico,35013,687,6
Matagorda,Texas,48321,94,5
Mason,Texas,48319,33,0
Martin,Texas,48317,4,1
Marion,Texas,48315,21,1
Madison,Texas,48313,23,0
Bernalillo,New Mexico,35001,1752,81
Curry,New Mexico,35009,92,0
Colfax,New Mexico,35007,8,0
Cibola,New Mexico,35006,189,10
Chaves,New Mexico,35005,61,2
York,Maine,23031,450,11
Juneau City and Borough,Alaska,02110,41,0
Catron,New Mexico,35003,2,1
McMullen,Texas,48311,0,0
Hancock,Maine,23009,13,1
McCulloch,Texas,48307,4,0
Lynn,Texas,48305,21,1
Lubbock,Texas,48303,1032,51
Loving,Texas,48301,0,0
Androscoggin,Maine,23001,434,4
Aroostook,Maine,23003,10,1
Cumberland,Maine,23005,1461,58
Franklin,Maine,23007,37,1
McLennan,Texas,48309,222,4
Knox,Maine,23013,23,1
Lincoln,Maine,23015,21,0
Oxford,Maine,23017,34,0
Penobscot,Maine,23019,101,2
Kennebec,Maine,23011,138,9
King William,Virginia,51101,33,0
District of Columbia,District of Columbia,11001,9847,523
Lancaster,Virginia,51103,11,0
Lee,Virginia,51105,9,0
Loudoun,Virginia,51107,3458,80
Louisa,Virginia,51109,101,1
Lunenburg,Virginia,51111,21,0
Madison,Virginia,51113,42,1
Mathews,Virginia,51115,5,0
Mecklenburg,Virginia,51117,231,24
Middlesex,Virginia,51119,14,0
